The Nordic Alliance of Artists’ Residencies on Climate Action	NAARCA	5359
Kindling		5101
Kindling	soma.majsternia	5092
Kindling	Sorry No Rooms Available	5144
GRASS Fellow programme	Rikke Luther	5012
Out of the Sky, into the Earth		4883
Brakfesten	Anne Duk Hee Jordan and Pauline Doutreluingne	4893
The Swamp Observatory	Urbonas Studio	3830
GRASS FELLOW		4719
MaHoMe	Azadeh Fatehrad 	3892
Standtune for the Courtyard of the Gotland Museum	Augustas Serapinas	4400
AIR_BALTIC Residency programme	Lina Lapelytė and Mantas Petraitis 	4815
Art in Urban Development Visborg		3597
Marching on Visborg	Ingela Ihrman	3850
ANNO MMXX	Juri Markkula 	3845
AIR_BALTIC	Flo Kasearu	3328
School workshop	The Excursion	3503
Towards An Island	Sebastian Stumpf	3425
The Flood	Fikret Atay	2697
Collective Living Seminar	Sharon Lockhart	1639
Spaced 3 residency: North by Southeast	Sam Smith	1943
Peace with the Earth	Åsa Sonjasdotter	2714
The Art of Heritage – an Artistic Research Residency at the Gotland Museum	BAC	2668
Mikko Hintz and Inga Meldere	AIR_BALTIC 5	2796
Apostlahästar på Gotland	AIR_BALTIC 3	2485
Kaspars Goba	AIR_BALTIC 4	2831
Repetition	Henrik Andersson	2469
The Site Residency	BAC publications	2360
A Pilgrims Way on Gotland	AIR_BALTIC 3	1772
Dysfunctional Comedy &#8211; A Reader	BAC publications	2354
Susanne Kriemann artist book	BAC publications	2351
IMA READ	AIR_BALTIC 2	1558
Research-in-Residence	Ingela Johansson	1442
In The Trails Of The Boat Refugees	BAC	1121
Theory of Plankton	AIR_BALTIC 1	1325
Towards SLITE INTERNATIONAL	BAC seminar	1448
Gotland Film Lab Residency	Radioarctica	1282
Dustdusk	Susanne Kriemann	1244
Tyto Alba	Michał Libera with Martin Küchen and Ralf Meinz	1224
Vertigo Sea	John Akomfrah	1129
The Site Residency external: Novosibirsk	Annika Eriksson	996
History Restaged	Off-Biennale Budapest	990
Gotland Film Lab Residency	Liza Babenko	977
future_island chapter 3	BAC seminar	919
Activist-in-Residence	Gotland Rainbow Group	621
Receding Triangular Square	Virlani Rupini and Leon Tan	543
The Scandinavian Mutant Summer Camp seminar	Henrik Andersson	527
Englishes	Nicoline van Harskamp	497
future_island chapter 2	BAC seminar	434
All At Once	Judy Radul	320
future_island chapter 1	BAC seminar	426
The Site Residency	Susanne Kriemann	365
Production-in-Residence	Michal Libera	277
Projecting Future Institutionalism	Olav Westphalen and Lars-Erik Hjertström Lappalainen	792
Context in Flux	BAC seminar	781
The Mobile Archive	BAC	846
The Site Residency	Agnieszka Polska	378
SISV	Henrik Andersson	336
Future Days	Agnieszka Polska	805
Non-Consensual Act (in progress)	Goshka Macuga	352
PERPETUUM LABS part 1	BAC seminar	822
You are a dancer	les gens d’Uterpan	467
Paths Crossing Production Residencies	Maija Rudowska and Tina Gverović	737
The Nordic Alliance of Artists’ Residencies on Climate Action	NAARCA	5278
Kindling		5131
Kindling	soma.majsternia	5117
Kindling	Sorry No Rooms Available	5137
GRASS Fellow programmet	Rikke Luther	5029
Ur himlen, ner i jorden		4874
Brakfesten	Anne Duk Hee Jordan och Pauline Doutreluingne	4852
The Swamp Observatory	Urbonas Studio	3870
GRASS Fellow		4730
MaHoMe	Azadeh Fatehrad	3903
Standtune för Fornsalens gård	Augustas Serapinas	4393
AIR_BALTIC residensprogram	Lina Lapelytė och Mantas Petraitis 	4825
Konst i Stadsutveckling Visborg		3578
ANNO MMXX	Juri Markkula	3865
Tågandet på Visborg	Ingela Ihrman	3855
AIR_BALTIC	Flo Kasearu	3318
Skolworkshop	Utflykten	3517
Towards An Island	Sebastian Stumpf	3415
The Flood	Fikret Atay	2702
Collective Living Seminar	Sharon Lockhart	2736
Portable Landscapes	Latvian Center for Contemporary Art	2528
Spaced 3 residency: North by Southeast	Sam Smith	1951
Fred med Jorden	Åsa Sonjasdotter	2706
Konsten i kulturarvet – ett konstnärligt forskningsresidens på Gotlands Museum		2664
Mikko Hintz och Inga Meldere	AIR_BALTIC 5	2785
Apostlahästar på Gotland	AIR_BALTIC 3	2479
Repetition	Henrik Andersson	2462
Kaspars Goba	AIR_BALTIC 4	2823
BAC publikationer	The Site Residency	2300
EN PILGRIMSLED PÅ GOTLAND	AIR_BALTIC 3	1777
BAC publikationer	Dysfunctional Comedy - A Reader	2320
BAC publikationer	Susanne Kriemann artist book	2294
I Båtflyktingarnas Spår		1372
BAC seminarium	future_island 2: towards SLITE INTERNATIONAL	1313
future_island chapter 1		238